contributor_wikidata_qid,contributor_name,source_type,filename,call_number,title,ds_id,marc_001,catalog_id,catalog_id_field,marc_005,institutional_record_date,catalog_url,iiif_manifest,generated_at
Q49117,University of Pennsylvania,marc-xml,9949956063503681.xml,Oversize LJS 211,Roger Bigod deed,"",9949956063503681,"","",20211011114817.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9949956063503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3w92x/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9949967773503681.xml,LJS 119,Manuscript leaf from a collection of papal decretals,"",9949967773503681,"","",20211011114818.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9949967773503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3zw5j/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9950003033503681.xml,LJS 271,Niccolò di Giovanni Machiavelli receipt,"",9950003033503681,"","",20211011114818.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9950003033503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3q93r/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9950289983503681.xml,LJS 188,Ynstruction of the ephimeredes,"",9950289983503681,"","",20211111122409.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9950289983503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3m05g/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9950293063503681.xml,Oversize LJS 174,Tabule illustrissimi principis regis alfonsii ... etc,"",9950293063503681,"","",20211011114818.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9950293063503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3445hd03/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9950320043503681.xml,LJS 191,Commentary on the Ephemerides of Regiomontanus,"",9950320043503681,"","",20211011114818.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9950320043503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3g63j/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9950345623503681.xml,LJS 215,Scientific miscellany,"",9950345623503681,"","",20211222104743.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9950345623503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3416t107/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9950511113503681.xml,LJS 226,Certain astrological and astronomical figures,"",9950511113503681,"","",20211011114818.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9950511113503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p30m06/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9950569233503681.xml,LJS 235,Kitāb al-Adwār fī al-mūsīqá,"",9950569233503681,"","",20211008115438.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9950569233503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3zm0w/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9950583033503681.xml,Oversize LJS 268,Kitāb al-Majisṭī,"",9950583033503681,"","",20211222125513.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9950583033503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3ff3m111/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9951131033503681.xml,LJS 411,Sharḥ-i Zīj-i Ulugh Bēg,"",9951131033503681,"","",20211008115445.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9951131033503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3pr7mv3j/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9951865503503681.xml,LJS 101,Periermenias Aristotelis ... etc,"",9951865503503681,"","",20220316120846.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9951865503503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3rd1b/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9951865803503681.xml,Ms. Coll. 390,Vāmanasūkta,"",9951865803503681,"","",20211025111103.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9951865803503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p36d5pb6j/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9951866203503681.xml,Ms. Coll. 390,Agnihotrahomaprayoga,"",9951866203503681,"","",20211025110935.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9951866203503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3c57s/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9951882013503681.xml,Ms. Coll. 390,Dhūrtasvāmibhāṣyatīkā,"",9951882013503681,"","",20211025111135.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9951882013503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p37659g80/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9951882743503681.xml,Ms. Coll. 390,Bodhāyanacayanaprayoga,"",9951882743503681,"","",20211025110606.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9951882743503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3rv5b/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9952666523503681.xml,Oversize LJS 24,Medical miscellany,"",9952666523503681,"","",20211011114817.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9952666523503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p37w6764x/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9953161073503681.xml,LJS 198,De simplicibus,"",9953161073503681,"","",20211011114816.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9953161073503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3jg62/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9953161123503681.xml,LJS 204,Shesh kenafayim,"",9953161123503681,"","",20211011114818.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9953161123503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3gp4r/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9954084983503681.xml,LJS 242,Basis grammatice,"",9954084983503681,"","",20211222111941.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9954084983503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p35644/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9954448733503681.xml,LJS 422,Haft paykar,"",9954448733503681,"","",20211011114818.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9954448733503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p39w0954n/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9957602663503681.xml,LJS 108,Manuscript leaf from Interpretationes Hebraicorum nominum,"",9957602663503681,"","",20211011114817.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9957602663503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3gw56/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9957604903503681.xml,Oversize LJS 212,Manuscript leaf from expense records,"",9957604903503681,"","",20211011114818.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9957604903503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3rk8q/manifest,2023-01-23T18:08:05-05:00
Q49117,University of Pennsylvania,marc-xml,9957607433503681.xml,LJS 264,Ymage du monde,"",9957607433503681,"","",20211011114819.0,"",https://franklin.library.upenn.edu/catalog/FRANKLIN_9957607433503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3p26q433/manifest,2023-01-23T18:08:05-05:00
